Garment Name:,Eylet with sheer long sleeves blk,,Retailer:,Banana Republic,,Style #,932102-00-1,,,Date:,31-Oct,,,,,,,,,,,,Size 00,,,,,,,,Size 0,,,,,,,,Size 2,,,,,,,,Size 4,,,,,,,,Size 6,,,,,,,,Size 8,,,,,,,,Size 10,,,,,,,,Size 12,,,,,,,,Size 14,,,,,,,,Size 16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,,XS,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,S,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,M,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,L,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,XL,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High
,,,,,,,,,,,,Plunge v-neck,Plunge v-neck,V neck,V neck,Wrap,V neck,,,,V neck,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Button down,Button down,Plunge v-neck,Plunge v-neck,,Plunge v-neck,,,,Plunge v-neck,Mandarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Mandarin,Mandarin,Button down,Button down,,Button down,,,,Button down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Lapel button down,Lapel button down,Mandarin,Mandarin,,Mandarin,,,,Mandarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Peter Pan,Peter Pan,Lapel button down,Lapel button down,,Lapel button down,,,,Lapel button down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Cowl - Draped,Cowl - Draped,Peter Pan,Peter Pan,,Peter Pan,,,,Peter Pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Cowl - Draped,Cowl - Draped,,Cowl - Draped,,,,Cowl - Draped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Cowl-  Turtle neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Blouse,Tunic,Tee *knit,Tank *knit,Jacket,Sweater,Pant/Trouser,Pant/Jean,Skirt,Dress,Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,strapless,strapless,strapless,strapless,strapless,sleeveless vest,n/a,n/a,n/a,strapless,short sleeved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,spaghetti straps,spaghetti straps,spaghetti straps,spaghetti straps,spaghetti straps,cap sleeved,,,,spaghetti straps,3/4 length sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,narrow straps,narrow straps,narrow straps,narrow straps,narrow straps,short sleeved,,,,narrow straps,long sleeved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,sleeveless,sleeveless,sleeveless,sleeveless,sleeveless vest,3/4 length sleeve,,,,sleeveless,sleeveless vest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,cap sleeved,cap sleeved,cap sleeved,,cap sleeved,long sleeved,,,,cap sleeved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,short sleeved,short sleeved,short sleeved,,short sleeved,,,,,short sleeved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3/4 length sleeve,3/4 length sleeve,3/4 length sleeve,,3/4 length sleeve,,,,,3/4 length sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,long sleeved,long sleeved,long sleeved,,long sleeved,,,,,long sleeved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Blouse,Tunic,Tee *knit,Tank *knit,Jacket,Sweater,Pant/Trouser,Pant/Jean,Skirt,Dress,Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,High Rise,High Rise,High Rise,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Mid Rise,Mid Rise,Mid Rise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Low Rise,Low Rise,Low Rise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
